"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.545805300E-1,-1.531406492E-1,-1.555334777E-1,9.946963310E0,9.949357860E0
1.569663110E-1,-1.387837082E-1,-1.363908947E-1,9.961320877E0,9.963221217E0
1.593520920E-1,-1.076770201E-1,-1.268195957E-1,9.963713646E0,9.965102467E0
1.617378740E-1,-1.100698411E-1,-1.244267747E-1,9.932606697E0,9.933995832E0
1.641236550E-1,-1.100698411E-1,-1.316052526E-1,9.899106979E0,9.900593634E0
1.665094360E-1,-9.810572863E-2,-1.244267747E-1,9.851250648E0,9.852524859E0
1.688952170E-1,-9.810572863E-2,-1.292124242E-1,9.829715729E0,9.831054465E0
1.712809990E-1,-1.052841991E-1,-1.339980662E-1,9.791430473E0,9.792913303E0
1.736667800E-1,-9.810572863E-2,-1.196411327E-1,9.755537987E0,9.756764840E0
1.760525610E-1,-9.810572863E-2,-1.148554832E-1,9.724431038E0,9.725604121E0
1.784383420E-1,-1.052841991E-1,-1.100698411E-1,9.707681656E0,9.708876519E0
1.808241240E-1,-1.004985496E-1,-1.124626622E-1,9.734002113E0,9.735170515E0
1.832099050E-1,-8.135596663E-2,-7.657032460E-2,9.769894600E0,9.770533368E0
1.855956860E-1,-8.135596663E-2,-9.332008660E-2,9.796216011E0,9.796998294E0
1.879814670E-1,-1.052841991E-1,-1.124626622E-1,9.865608215E0,9.866810937E0
1.903672490E-1,-1.004985496E-1,-1.052841991E-1,9.906285286E0,9.907354485E0
1.927530300E-1,-7.417750359E-2,-9.332008660E-2,9.925428391E0,9.926144250E0
1.951388110E-1,-6.460621208E-2,-9.332008660E-2,9.932606697E0,9.933255176E0
1.975245920E-1,-6.939185411E-2,-9.810572863E-2,9.925428391E0,9.926155787E0
1.999103740E-1,-6.460621208E-2,-9.332008660E-2,9.894321442E0,9.894972430E0
2.022961550E-1,-7.896314561E-2,-1.076770201E-1,9.863214493E0,9.864118291E0
